Set,Type,Operator,Depot,Livery,Status,Interior,In Service,Gauge,myki
116,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,M>Tram Refurbished,"Tue, 25th Sep 1979",1435mm Standard gauge,N/A
117,Z-Class,Yarra Trams,Essendon,PTV Green,Scrapped,M>Tram Refurbished,"Tue, 25th Sep 1979",1435mm Standard gauge,N/A
118,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,M>Tram Refurbished,"Tue, 25th Sep 1979",1435mm Standard gauge,N/A
119,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,M>Tram Refurbished,"Mon, 7th Jan 1980",1435mm Standard gauge,N/A
120,Z-Class,Yarra Trams,Malvern,PTV Green,Scrapped,Yarra trams Refurbished,"Fri, 21st Dec 1979",1435mm Standard gauge,N/A
121,Z-Class,Yarra Trams,Malvern,PTV Green,Scrapped,M>Tram Refurbished,"Fri, 21st Dec 1979",1435mm Standard gauge,N/A
122,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,M>Tram Refurbished,"Tue, 29th Jan 1980",1435mm Standard gauge,N/A
123,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 15th Feb 1980",1435mm Standard gauge,Conduent
124,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,M>Tram Refurbished,"Fri, 15th Feb 1980",1435mm Standard gauge,N/A
125,Z-Class,Yarra Trams,Malvern,PTV Green,Withdrawn,Yarra trams Refurbished,"Fri, 15th Feb 1980",1435mm Standard gauge,N/A
126,Z-Class,Yarra Trams,Malvern,PTV Green,Scrapped,M>Tram Refurbished,"Fri, 29th Feb 1980",1435mm Standard gauge,N/A
127,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 7th Mar 1980",1435mm Standard gauge,Conduent
128,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 28th Mar 1980",1435mm Standard gauge,Conduent
129,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,M>Tram Refurbished,"Thu, 17th Apr 1980",1435mm Standard gauge,N/A
130,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,Yarra trams Refurbished,"Wed, 23rd Apr 1980",1435mm Standard gauge,N/A
131,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,M>Tram Refurbished,"Wed, 30th Apr 1980",1435mm Standard gauge,Conduent
132,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,M>Tram Refurbished,"Wed, 30th Apr 1980",1435mm Standard gauge,Conduent
133,Z-Class,Yarra Trams,Malvern,PTV Green,Withdrawn,M>Tram Refurbished,"Mon, 2nd Jun 1980",1435mm Standard gauge,N/A
134,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 6th Jun 1980",1435mm Standard gauge,Conduent
135,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,M>Tram Refurbished,"Tue, 17th Jun 1980",1435mm Standard gauge,Conduent
136,Z-Class,Yarra Trams,Unknown,PTV Green,Withdrawn,M>Tram Refurbished,"Fri, 20th Jun 1980",1435mm Standard gauge,N/A
137,Z-Class,Yarra Trams,Unknown,Yarra Trams Mk 2,Withdrawn,Yarra trams Refurbished,"Wed, 2nd Jul 1980",1435mm Standard gauge,N/A
138,Z-Class,Yarra Trams,Malvern,Yarra Trams Mk 4,Withdrawn,Yarra trams Refurbished,"Mon, 14th Jul 1980",1435mm Standard gauge,N/A
139,Z-Class,Yarra Trams,Essendon,PTV Green,Scrapped,M>Tram Refurbished,"Tue, 22nd Jul 1980",1435mm Standard gauge,N/A
140,Z-Class,Yarra Trams,Newport Workshops,Yarra Trams Mk 2,Withdrawn,Yarra trams Refurbished,"Tue, 22nd Jul 1980",1435mm Standard gauge,N/A
141,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,M>Tram Refurbished,"Fri, 1st Aug 1980",1435mm Standard gauge,Conduent
142,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Mon, 25th Aug 1980",1435mm Standard gauge,Conduent
143,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 8th Aug 1980",1435mm Standard gauge,ACS
144,Z-Class,Yarra Trams,Malvern,PTV Green,Withdrawn,Yarra trams Refurbished,"Fri, 29th Aug 1980",1435mm Standard gauge,N/A
145,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Mon, 25th Aug 1980",1435mm Standard gauge,ACS
146,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 29th Aug 1980",1435mm Standard gauge,ACS
147,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,M>Tram Refurbished,"Fri, 29th Aug 1980",1435mm Standard gauge,N/A
148,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Wed, 10th Sep 1980",1435mm Standard gauge,Conduent
149,Z-Class,Swanston Trams,Essendon,Met Green and Yellow,Scrapped,Original - MET,"Wed, 17th Sep 1980",1435mm Standard gauge,N/A
150,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 26th Sep 1980",1435mm Standard gauge,Conduent
151,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,M>Tram Refurbished,"Fri, 28th Nov 1980",1435mm Standard gauge,ACS
152,Z-Class,Yarra Trams,Malvern,Yarra Trams Mk 4,Withdrawn,Yarra trams Refurbished,"Wed, 17th Dec 1980",1435mm Standard gauge,N/A
153,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 31st Oct 1980",1435mm Standard gauge,ACS
154,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,M>Tram Refurbished,"Thu, 13th Nov 1980",1435mm Standard gauge,Conduent
155,Z-Class,Yarra Trams,Malvern,PTV Green,Withdrawn,M>Tram Refurbished,"Thu, 13th Nov 1980",1435mm Standard gauge,N/A
156,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 28th Nov 1980",1435mm Standard gauge,Conduent
157,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Thu, 11th Dec 1980",1435mm Standard gauge,Conduent
158,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Mon, 15th Dec 1980",1435mm Standard gauge,Conduent
159,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,M>Tram Refurbished,"Fri, 19th Dec 1980",1435mm Standard gauge,ACS
160,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 19th Dec 1980",1435mm Standard gauge,ACS
161,Z-Class,Yarra Trams,Essendon,PTV Green,Withdrawn,Yarra trams Refurbished,"Tue, 3rd Mar 1981",1435mm Standard gauge,N/A
162,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 13th Mar 1981",1435mm Standard gauge,ACS
163,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 20th Mar 1981",1435mm Standard gauge,Conduent
164,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 27th Mar 1981",1435mm Standard gauge,ACS
165,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 24th Apr 1981",1435mm Standard gauge,Conduent
166,Z-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra trams Refurbished,"Mon, 4th May 1981",1435mm Standard gauge,Conduent
167,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,M>Tram Refurbished,"Wed, 6th May 1981",1435mm Standard gauge,ACS
168,Z-Class,Yarra Trams,Malvern,PTV Green,In-Service,Yarra trams Refurbished,"Fri, 15th May 1981",1435mm Standard gauge,ACS
